dt,metric_name,metric_value
20210217212712,Redo Generated Per Sec,5203.53510088378
20210217212712,Redo Generated Per Txn,5673.74545454545
20210217212712,Logical Reads Per Sec,193.646823411706
20210217212712,Logical Reads Per Txn,211.145454545455
20210217212712,Executions Per Sec,15.341003835251
20210217212712,Executions Per Txn,16.7272727272727
20210217212712,Physical Reads Per Sec,0.0
20210217212712,Physical Reads Per Txn,0.0
20210217212712,Physical Writes Per Sec,0.0
20210217212712,Physical Writes Per Txn,0.0
20210217212712,Physical Write Bytes Per Sec,0.0
20210217212712,Physical Write Total Bytes Per Sec,2185.62614640654
20210217212712,Physical Read Bytes Per Sec,0.0
20210217212712,Physical Read Total Bytes Per Sec,1912.42287810572
20210217212712,DB Block Changes Per Sec,28.6976821744205
20210217212712,DB Block Changes Per Txn,31.2909090909091
20210217212712,Total Parse Count Per Sec,15.2076038019009
20210217212712,Total Parse Count Per Txn,16.5818181818182
20210217212712,Hard Parse Count Per Sec,0.0
20210217212712,Hard Parse Count Per Txn,0.0
20210217212712,Soft Parse Ratio,100.0
20210217212712,Execute Without Parse Ratio,0.869565217391304
20210217212712,Parse Failure Count Per Sec,0.0
20210217212712,Logons Per Sec,0.0
20210217212712,Logons Per Txn,0.0
20210217212712,User Transaction Per Sec,0.917125229281307
20210217212712,User Calls Per Sec,3.85192596298149
20210217212712,User Calls Per Txn,4.2
20210217212712,User Rollbacks Per Sec,0.0
20210217212712,User Rollbacks Percentage,0.0
20210217212712,Current Logons Count,3.0
20210217212712,Current Open Cursors Count,28.0
20210217212712,Network Traffic Volume Per Sec,1096.34817408704
20210217212712,Database Wait Time Ratio,57.6083746267187
20210217212712,Database CPU Time Ratio,42.3916253732813
20210217212712,SQL Service Response Time,0.0062874140302613
20210217212712,Response Time Per Txn,0.332432727272727
20210217212812,Session Count,3.0
20210217212812,PQ QC Session Count,0.0
20210217212812,PQ Slave Session Count,0.0
20210217212812,Average Active Sessions,0.0032073598130841
20210217212812,Active Serial Sessions,0.0
20210217212812,Active Parallel Sessions,0.0
20210217212812,CPU Usage Per Sec,0.204781375166889
20210217212812,CPU Usage Per Txn,0.227231481481481
20210217212812,Background CPU Usage Per Sec,0.0467673564753004
20210217212812,Background Time Per Sec,0.0006175734312416
20210217212812,User Commits Per Sec,0.901201602136182
20210217212812,User Commits Percentage,100.0
20210217212812,Open Cursors Per Sec,2.0694259012016
20210217212812,Open Cursors Per Txn,2.2962962962963
20210217212812,Redo Generated Per Sec,652.069425901202
20210217212812,Redo Generated Per Txn,723.555555555556
20210217212812,Logical Reads Per Sec,18.7750333778371
20210217212812,Logical Reads Per Txn,20.8333333333333
20210217212812,Executions Per Sec,1.38518024032043
20210217212812,Executions Per Txn,1.53703703703704
20210217212812,Physical Reads Per Sec,0.0
20210217212812,Physical Reads Per Txn,0.0
20210217212812,Physical Writes Per Sec,0.0
20210217212812,Physical Writes Per Txn,0.0
20210217212812,Physical Write Bytes Per Sec,0.0
20210217212812,Physical Write Total Bytes Per Sec,2187.44993324433
20210217212812,Physical Read Bytes Per Sec,0.0
20210217212812,Physical Read Total Bytes Per Sec,1914.01869158878
20210217212812,DB Block Changes Per Sec,3.98865153538051
20210217212812,DB Block Changes Per Txn,4.42592592592593
20210217212812,Total Parse Count Per Sec,2.10280373831776
20210217212812,Total Parse Count Per Txn,2.33333333333333
20210217212812,Hard Parse Count Per Sec,0.0
20210217212812,Hard Parse Count Per Txn,0.0
20210217212812,Soft Parse Ratio,100.0
20210217212812,Execute Without Parse Ratio,0.0
20210217212812,Parse Failure Count Per Sec,0.0
20210217212812,Logons Per Sec,0.0
20210217212812,Logons Per Txn,0.0
20210217212812,User Transaction Per Sec,0.901201602136182
20210217212812,User Calls Per Sec,3.83845126835781
20210217212812,User Calls Per Txn,4.25925925925926
20210217212812,User Rollbacks Per Sec,0.0
20210217212812,User Rollbacks Percentage,0.0
20210217212812,Current Logons Count,3.0
20210217212812,Current Open Cursors Count,28.0
20210217212812,Network Traffic Volume Per Sec,1084.37917222964
20210217212812,Database Wait Time Ratio,36.1526654005255
20210217212812,Database CPU Time Ratio,63.8473345994745
20210217212812,SQL Service Response Time,0.0389827586206896
20210217212812,Response Time Per Txn,0.355898148148148
20210217212912,Session Count,3.0
20210217212912,PQ QC Session Count,0.0
20210217212912,PQ Slave Session Count,0.0
20210217212912,Average Active Sessions,0.0070453135423615
20210217212912,Active Serial Sessions,0.0
20210217212912,Active Parallel Sessions,0.0
20210217212912,CPU Usage Per Sec,0.302358238825884
20210217212912,CPU Usage Per Txn,0.329625454545455
20210217212912,Background CPU Usage Per Sec,0.044996664442962
20210217212912,Background Time Per Sec,0.0007910440293529
20210217212912,User Commits Per Sec,0.917278185456971
20210217212912,User Commits Percentage,100.0
20210217212912,Open Cursors Per Sec,2.53502334889927
20210217212912,Open Cursors Per Txn,2.76363636363636
20210217212912,Redo Generated Per Sec,750.366911274183
20210217212912,Redo Generated Per Txn,818.036363636364
20210217212912,Logical Reads Per Sec,7.65510340226818
20210217212912,Logical Reads Per Txn,8.34545454545455
20210217212912,Executions Per Sec,1.8679119412942
20210217212912,Executions Per Txn,2.03636363636364
20210217212912,Physical Reads Per Sec,0.133422281521014
20210217212912,Physical Reads Per Txn,0.145454545454545
20210217212912,Physical Writes Per Sec,0.0
20210217212912,Physical Writes Per Txn,0.0
20210217212912,Physical Write Bytes Per Sec,0.0
20210217212912,Physical Write Total Bytes Per Sec,2185.99066044029
20210217212912,Physical Read Bytes Per Sec,1092.99533022015
20210217212912,Physical Read Total Bytes Per Sec,3005.7371581054
20210217212912,DB Block Changes Per Sec,4.75316877918612
20210217212912,DB Block Changes Per Txn,5.18181818181818
20210217212912,Total Parse Count Per Sec,2.51834556370914
20210217212912,Total Parse Count Per Txn,2.74545454545455
20210217212912,Hard Parse Count Per Sec,0.0
20210217212912,Hard Parse Count Per Txn,0.0
20210217212912,Soft Parse Ratio,100.0
20210217212912,Execute Without Parse Ratio,0.0
20210217212912,Parse Failure Count Per Sec,0.0
20210217212912,Logons Per Sec,0.0
20210217212912,Logons Per Txn,0.0
20210217212912,User Transaction Per Sec,0.917278185456971
20210217212912,User Calls Per Sec,3.85256837891928
20210217212912,User Calls Per Txn,4.2
20210217212912,User Rollbacks Per Sec,0.0
20210217212912,User Rollbacks Percentage,0.0
20210217212912,Current Logons Count,3.0
20210217212912,Current Open Cursors Count,28.0
20210217212912,Network Traffic Volume Per Sec,1087.30820547031
20210217212912,Database Wait Time Ratio,57.08377817284
20210217212912,Database CPU Time Ratio,42.91622182716
20210217212912,SQL Service Response Time,0.0670534920634921
20210217212912,Response Time Per Txn,0.768067272727273
20210217213012,Session Count,5.0
20210217213012,PQ QC Session Count,0.0
20210217213012,PQ Slave Session Count,0.0
20210217213012,Average Active Sessions,0.0130650658662665
20210217213012,Active Serial Sessions,0.0
20210217213012,Active Parallel Sessions,0.0
20210217213012,CPU Usage Per Sec,0.651050525262631
20210217213012,CPU Usage Per Txn,0.723027777777778
20210217213012,Background CPU Usage Per Sec,0.0581007170251793
20210217213012,Background Time Per Sec,0.001714724028681
20210217213012,User Commits Per Sec,0.900450225112556
20210217213012,User Commits Percentage,100.0
20210217213012,Open Cursors Per Sec,3.03485075871269
20210217213012,Open Cursors Per Txn,3.37037037037037
20210217213012,Redo Generated Per Sec,790.461897615474
20210217213012,Redo Generated Per Txn,877.851851851852
20210217213012,Logical Reads Per Sec,7.95397698849425
20210217213012,Logical Reads Per Txn,8.83333333333333
20210217213012,Executions Per Sec,2.20110055027514
20210217213012,Executions Per Txn,2.44444444444444
20210217213012,Physical Reads Per Sec,0.0
20210217213012,Physical Reads Per Txn,0.0
20210217213012,Physical Writes Per Sec,0.0
20210217213012,Physical Writes Per Txn,0.0
20210217213012,Physical Write Bytes Per Sec,0.0
20210217213012,Physical Write Total Bytes Per Sec,2185.62614640654
20210217213012,Physical Read Bytes Per Sec,0.0
20210217213012,Physical Read Total Bytes Per Sec,1912.42287810572
20210217213012,DB Block Changes Per Sec,4.78572619643155
20210217213012,DB Block Changes Per Txn,5.31481481481481
20210217213012,Total Parse Count Per Sec,3.06820076705019
20210217213012,Total Parse Count Per Txn,3.40740740740741
20210217213012,Hard Parse Count Per Sec,0.0
20210217213012,Hard Parse Count Per Txn,0.0
20210217213012,Soft Parse Ratio,100.0
20210217213012,Execute Without Parse Ratio,0.0
20210217213012,Parse Failure Count Per Sec,0.0
20210217213012,Logons Per Sec,0.0667000166750042
20210217213012,Logons Per Txn,0.0740740740740741
20210217213012,User Transaction Per Sec,0.900450225112556
20210217213012,User Calls Per Sec,4.28547607136902
20210217213012,User Calls Per Txn,4.75925925925926
20210217213012,User Rollbacks Per Sec,0.0
20210217213012,User Rollbacks Percentage,0.0
20210217213012,Current Logons Count,3.0
20210217213012,Current Open Cursors Count,28.0
20210217213012,Network Traffic Volume Per Sec,1509.72152743038
20210217213012,Database Wait Time Ratio,50.1685998427593
20210217213012,Database CPU Time Ratio,49.8314001572407
20210217213012,SQL Service Response Time,0.100065389527458
20210217213012,Response Time Per Txn,1.45094814814815
20210217214013,Session Count,8.0
20210217214013,PQ QC Session Count,0.0
20210217214013,PQ Slave Session Count,0.0
20210217214013,Average Active Sessions,1.01442990310725
20210217214013,Active Serial Sessions,1.0
20210217214013,Active Parallel Sessions,0.0
20210217214013,CPU Usage Per Sec,100.548359505513
20210217214013,CPU Usage Per Txn,109.433178181818
